date,title,tenure,location,salary,industry,education,tenure_clean,us_region,salary_usd,industry_group,education_level
2021,data science manager,2 years,fully remote,$190k,ad tech,"phd, computer science",2.0,Non-US,190000.0,Professional services,PhD
2021,quantitative analyst,< 6 months,lcol midwest city,$75k,financial services,bs mathematics/ms applied statistics,0.5,Midwest,75000.0,Finance,Master's
2021,senior predictive analyst,5 years in current role,"southern, usa","$93,000",financial consulting,bs applied mathematics; minior in applied statistics,5.0,Unspecified,93000.0,Professional services,Master's
2021,senior data scientist,3 years,lcol midwest,"115,000",financial services,"ms, mba",3.0,Midwest,115000.0,Finance,Master's
2021,data scientist,1.5 years,washington dc,"$88,000",national security,"m.s. in data science, b.s. political science",1.5,Northeast,88000.0,Government,Master's
2021,analytics manager,1y3m,atlanta,$132k,"big box retail, ecommerce division","ba communications, bs psychology",13.0,Southeast,132000.0,Retail & e-commerce,Bachelor's
2021,data scientist nlp,"0, starting next year",socal,"$120,000",healthcare consulting,ms,,West coast,120000.0,Professional services,Master's
2021,senior data scientist,< 6 months,west coast,"$160,000",games,phd,0.5,West coast,160000.0,Other industry,PhD
2021,junior data scientist,2.75 years,karachi pakistan,"120,00 pkr/month",data science services,"b.sc in math, minor in comp sci from an american uni",2.75,Non-US,,Professional services,Master's
2021,data analyst,starting in summer,"washington, dc area","$96,000",financial technology,b.s. economics,,Northeast,96000.0,Tech,Bachelor's
2021,data scientist,3 years at current company,austria,"42,000€ a year",consulting basically,bsc. in comp sci,3.0,Unspecified,43029.0,Professional services,Bachelor's
2021,data scientist,,d.c. area,gs-11,federal government,"m.s. applied stats, b.s. math",,Northeast,,Government,Master's
2021,founder programmer,5 years,"oregon, usa.",$10k,software,msc in computational linguistics.,5.0,Unspecified,10000.0,Tech,Master's
2021,data scientist,~1 year,silicon valley,"$170,000 base salary",mid-sized startup,ms in statistics,1.0,West coast,170000.0,Tech,Master's
2021,senior analytics engineer,2 months,"london, uk","£70,000",consumer goods,ms stats,0.16666666666666666,Non-US,84070.90020280647,Manufacturing,Master's
2021,data analytics & reporting lead,3 months,"remote, dallas tx","$110,000",healthcare,"ms data analytics, ms healthcare analytics, doctoral student - graduation 2023",0.25,Southwest,110000.0,Healthcare,Master's
2021,junior data scientist,2 months,"glasgow, uk","£27,000",fintech startup,"meng mechanical engineering, msc machine learning",0.16666666666666666,Non-US,32427.347221082495,Tech,Master's
2021,head of data scientist and machine learning engineering,1 yrs,south,$240k,finance,msc ds,1.0,Non-US,240000.0,Finance,Master's
2021,data scientist,3 years,"office  bengaluru, india",rupees 21 lakhs per annum,brewery,b tech mechanical engineering,3.0,Non-US,26269.87228015336,Manufacturing,High School
2021,senor data analyst,new to the company,bentonville ar,$110k usd,mid size real estate company,bachelors in analytics studying masters in analytics,,Midwest,110000.0,Other industry,Master's
