date,page,title,tenure,location,salary,industry,education,prior_experience,signing_bonus,stock_or_bonus,total_comp,extra_col
2021,1,Title: Data science manager,• Tenure length: 2 years,• Location: fully remote,• Salary: $190k,• Company/Industry: ad tech,"• Education: PhD, computer science",• Prior Experience: 5 years as a data scientist,• Relocation/Signing Bonus: n/a,"• Stock and/or recurring bonuses: profit sharing, ~$20k annually",• Total comp: $210k,
2021,1,Title: Quantitative Analyst,Tenure length: < 6 months,Location: LCOL midwest city,Salary: $75k,Industry: Financial Services,Education: BS mathematics/MS applied statistics,"Prior experience: 2 quant internships, 1 unrelated internship",Signing bonus: $5k,Annual bonus: ~10% salary,Total comp: ~80-85k,
2021,1,Title: Senior Predictive Analyst,Tenure length: 5 years in current role,"Location: Southern, USA (optional remote / hybrid remote)","Salary: $93,000",Company/Industry: Financial Consulting,Education: BS Applied Mathematics; Minior in Applied Statistics,Prior Experience: N/A,Relocation/Signing Bonus: None,Stock and/or recurring bonuses: None,"Total comp: $93,000",
2021,1,Title: Senior Data Scientist,Tenure length: 3 years,Location: lcol midwest,"Salary: 115,000",Company/Industry: financial services,"Education: MS, MBA",Prior experience: BI,Relocation/Signing Bonus: no,Stock and/or recurring bonuses: 16% annual bonus (depending on performance),,
2021,1,• Title: Data Scientist,• Tenure length: 1.5 years,• Location: Washington DC,"• Salary: $88,000",• Company/Industry: National Security (government),"• Education: M.S. in Data Science, B.S. Political Science","• Prior Experience: Came straight out of grad school, did 2 internships with federal agencies and worked part time as a researcher throughout school",• Relocation/Signing Bonus: none,• Stock and/or recurring bonuses: none,• Total comp: 88k but I do make and additional 7k helping teach classes at a college nearby,
2021,1,•	⁠Title: Analytics Manager,•	⁠Tenure length:1y3m,•	⁠Location: Atlanta (with full remote optional),•	⁠Salary: $132k,"•	⁠Company/Industry: Big box retail, ecommerce division","•	⁠Education: BA Communications, BS Psychology","•	⁠Prior Experience: 2 years auto industry sales   analyst, 4 years digital/product analytics (senior analyst/lead analyst)",•	⁠Relocation/Signing Bonus: None,•	⁠Stock and/or recurring bonuses:,⁠•	⁠10% or greater annual bonus,
2021,1,Title: Data Scientist - NLP,"Tenure Length: 0, starting next year",Location: SoCal,"Salary: $120,000",Company/Industry: Healthcare Consulting,Education: MS,Prior Experience: 6 years as data analyst,Relocation/Signing Bonus: None,Stock and/or recurring bonuses: does ESPP count? 10% merit bonus,"Total Comp: $140,000",
2021,1,Title: Senior Data Scientist,Tenure length: < 6 months,Location: West Coast,"Salary: $160,000",Company/Industry: Games,Education: PhD,Prior Experience: 7 years industry,"Relocation/Signing Bonus: $20,000 cash","Stock and/or recurring bonuses: $60,000 / 3 year vest + $24,000 annual bonus","Total comp: $220,000",
2021,1,title: junior data scientist,tenure length: 2.75 years,location: karachi pakistan (fully remote),"salary: 120,00 PKR/month",industry: data science services (software house),"education: B.SC in math, minor in comp sci from an american uni","prior experience: none, some non data science related internships in college",relocation/signing bonus: none,stock and/or recurring bonuses: none,"total comp: 120,000 PKR/month",
2021,1,Title: Data Analyst,Tenure Length: Starting in summer (New Grad),"Location: Washington, DC Area","Salary: $96,000",Company/Industry: Financial Technology,Education: B.S. Economics,Prior Experience:  No Full Time Experience (New Grad),Relocation/Signing Bonus: $1.5K relocation + $9K Signing,Stock and/or recurring bonuses: Up to $7K performance bonus,Total Comp: $106.5k - $113.5k,
