date,page,title,tenure,location,salary,industry,education,prior_experience,signing_bonus,stock_or_bonus,total_comp,extra_col,tenure_clean,location_clean,salary_pre_clean,salary_clean,salary_currency,FX,salary_usd
2021,1,data science manager,2 years,fully remote,$190k,ad tech,"phd, computer science",5 years as a data scientist,n/a,"profit sharing, ~$20k annually",$210k,,2.0,remote,$190k,190000.0,USD,1.0,190000.0
2021,1,quantitative analyst,< 6 months,lcol midwest city,$75k,financial services,bs mathematics/ms applied statistics,"2 quant internships, 1 unrelated internship",signing bonus: $5k,annual bonus: ~10% salary,~80-85k,,0.5,"midwest, us",$75k,75000.0,USD,1.0,75000.0
2021,1,senior predictive analyst,5 years in current role,"southern, usa","$93,000",financial consulting,bs applied mathematics; minior in applied statistics,n/a,none,none,"$93,000",,5.0,us,"$93,000",93000.0,USD,1.0,93000.0
2021,1,senior data scientist,3 years,lcol midwest,"115,000",financial services,"ms, mba",bi,no,16% annual bonus,,,3.0,"midwest, us","115,000",115000.0,USD,1.0,115000.0
2021,1,data scientist,1.5 years,washington dc,"$88,000",national security,"m.s. in data science, b.s. political science","came straight out of grad school, did 2 internships with federal agencies and worked part time as a researcher throughout school",none,none,88k but i do make and additional 7k helping teach classes at a college nearby,,1.5,"washington dc, us","$88,000",88000.0,USD,1.0,88000.0
2021,1,analytics manager,1y3m,atlanta,$132k,"big box retail, ecommerce division","ba communications, bs psychology","2 years auto industry sales   analyst, 4 years digital/product analytics",none,,10% or greater annual bonus,,13.0,"atlanta, us",$132k,132000.0,USD,1.0,132000.0
2021,1,data scientist nlp,"0, starting next year",socal,"$120,000",healthcare consulting,ms,6 years as data analyst,none,does espp count? 10% merit bonus,"$140,000",,,"socal, us","$120,000",120000.0,USD,1.0,120000.0
2021,1,senior data scientist,< 6 months,west coast,"$160,000",games,phd,7 years industry,"$20,000 cash","$60,000 / 3 year vest + $24,000 annual bonus","$220,000",,0.5,"west coast, us","$160,000",160000.0,USD,1.0,160000.0
2021,1,junior data scientist,2.75 years,karachi pakistan,"120,00 pkr/month",data science services,"b.sc in math, minor in comp sci from an american uni","none, some non data science related internships in college",none,none,"120,000 pkr/month",,2.75,pakistan,"120,00 pkr/month",144000.0,USD,1.0,144000.0
2021,1,data analyst,starting in summer,"washington, dc area","$96,000",financial technology,b.s. economics,no full time experience,$1.5k relocation + $9k signing,up to $7k performance bonus,$106.5k - $113.5k,,,"washington dc, us","$96,000",96000.0,USD,1.0,96000.0
2021,1,data scientist,3 years at current company,austria,"42,000€ a year",consulting basically,bsc. in comp sci,,$internship 6 month internship,relocation/signing bonus: lol,stock and/or recurring bonuses: nope,,3.0,us,"42,000€ a year",42000.0,EUR,0.9760858955588092,43029.0
2021,1,data scientist,,d.c. area,gs-11,federal government,"m.s. applied stats, b.s. math",6 years as statistician at environmental consulting firm,offered but not needed . no signing bonus.,bonuses yes but tbd as i started after bonuses went out. 6% match for retirement.,,,,"washington dc, us",gs-11,,USD,1.0,
2021,1,founder programmer,5 years,"oregon, usa.",$10k,software,msc in computational linguistics.,30y as professional programmer in different big tech.,stock and/or recurring bonuses: 8m shares. bootstrapped,total comp: 10k,,,5.0,us,$10k,10000.0,USD,1.0,10000.0
2021,1,data scientist,~1 year,silicon valley,"$170,000 base salary",mid-sized startup,ms in statistics,,"none, i'm a local! no signing bonus either.",,"$224,000",,1.0,"bay area, us","$170,000  ",170000.0,USD,1.0,170000.0
2021,1,senior analytics engineer,2 months,"london, uk","£70,000",consumer goods,ms stats,around 7 years in related fields,,,,,0.16666666666666666,"london, uk","£70,000",70000.0,GBP,0.8326305514885309,84070.90020280647
2021,1,data analytics & reporting lead,3 months,"remote, dallas tx","$110,000",healthcare,"ms data analytics, ms healthcare analytics, doctoral student - graduation 2023","new grad, self-employed",◦ $internship analytics intern for fitness app,"annual bonus: $10,000","$120,000",,0.25,"dallas, us","$110,000",110000.0,USD,1.0,110000.0
2021,1,junior data scientist,2 months,"glasgow, uk","£27,000",fintech startup,"meng mechanical engineering, msc machine learning",three month ds internship,"total comp: £27,000",,,,0.16666666666666666,uk,"£27,000",27000.0,GBP,0.8326305514885309,32427.347221082495
2021,1,head of data scientist and machine learning engineering,1 yrs,south,$240k,finance,msc ds,"10 years from ds, sr ds, manager ds, sr mgr ds, director ds",na,$$$,$300-400k,,1.0,south,$240k,240000.0,USD,1.0,240000.0
2021,1,data scientist,3 years,"office  bengaluru, india",rupees 21 lakhs per annum,brewery,b tech mechanical engineering,3 years as data scientist,,,,,3.0,india,rupees 21 L per annum,2100000.0,INR,79.93948267447536,26269.87228015336
2021,1,senor data analyst,new to the company,bentonville ar,$110k usd,mid size real estate company,bachelors in analytics studying masters in analytics,2-3 years in analytics / reporting positions,none,15% cash bonus,121k total comp,,,"bentonville, us",$110k usd,110000.0,USD,1.0,110000.0
2021,1,senior data scientist,5 years,"atlanta, us",$120k,retail/marketing,"stem undergrad, ms business analytics","2 years senior analyst, 2 years ds, 1 year sds",$coop: none,relocation/signing bonus: $5k,,,5.0,"atlanta, us",$120k,120000.0,USD,1.0,120000.0
2021,1,senior data scientist,3yr,nyc,"$114,000",healthcare,phd bioinformatics,1st job,$5000,none,"$114,000",,3.0,"new york, us","$114,000",114000.0,USD,1.0,114000.0
2021,1,senior analytics analyst, 2.5 yrs,southwest us,"~$95k base , ~$15k bonus",financial services & banking,bs in applied math & bba economics,data analyst/sr. data analyst in insurance,internship/coop: risk analytics co-op while in college,relocation/signing bonus: none,"stock/recurring bonuses: espp , ~$15k company and performance based bonus.",,2.5,us,~$95k  ,95000.0,USD,1.0,95000.0
2021,1,director data science,4 years,fully remote,"$147,000",digital healthcare,"bs, biology; ms, wildlife and fisheries sciences","9 years in research, statistics, biostatistics, and financial/management consultation",$0,$0,~$154k with shitty 401k matching,,4.0,remote,"$147,000",147000.0,USD,1.0,147000.0
2021,1,machine learningops engineer,just starting,"berlin, germany",´€70k,steel industry,"almost msc, [ba economics]",data related jobs for 3 years,,,,,,germany,´€70k,70000.0,EUR,0.9760858955588092,71715.0
